Daily Confirmed,Daily Deaths,Daily Recovered,Total Confirmed,Total Deaths,Total Recovered,Total Active,Date,Date1
1,0,0,1,0,0,1,30-01-2020,30-Jan
0,0,0,1,0,0,1,31-01-2020,31-Jan
0,0,0,1,0,0,1,01-02-2020,01-Feb
1,0,0,2,0,0,2,02-02-2020,02-Feb
1,0,0,3,0,0,3,03-02-2020,03-Feb
0,0,0,3,0,0,3,04-02-2020,04-Feb
0,0,0,3,0,0,3,05-02-2020,05-Feb
0,0,0,3,0,0,3,06-02-2020,06-Feb
0,0,0,3,0,0,3,07-02-2020,07-Feb
0,0,0,3,0,0,3,08-02-2020,08-Feb
0,0,0,3,0,0,3,09-02-2020,09-Feb
0,0,0,3,0,0,3,10-02-2020,10-Feb
0,0,0,3,0,0,3,11-02-2020,11-Feb
0,0,0,3,0,0,3,12-02-2020,12-Feb
0,0,1,3,0,1,2,13-02-2020,13-Feb
0,0,0,3,0,1,2,14-02-2020,14-Feb
0,0,0,3,0,1,2,15-02-2020,15-Feb
0,0,1,3,0,2,1,16-02-2020,16-Feb
0,0,0,3,0,2,1,17-02-2020,17-Feb
0,0,0,3,0,2,1,18-02-2020,18-Feb
0,0,0,3,0,2,1,19-02-2020,19-Feb
0,0,1,3,0,3,0,20-02-2020,20-Feb
0,0,0,3,0,3,0,21-02-2020,21-Feb
0,0,0,3,0,3,0,22-02-2020,22-Feb
0,0,0,3,0,3,0,23-02-2020,23-Feb
0,0,0,3,0,3,0,24-02-2020,24-Feb
0,0,0,3,0,3,0,25-02-2020,25-Feb
0,0,0,3,0,3,0,26-02-2020,26-Feb
0,0,0,3,0,3,0,27-02-2020,27-Feb
0,0,0,3,0,3,0,28-02-2020,28-Feb
0,0,0,3,0,3,0,29-02-2020,29-Feb
0,0,0,3,0,3,0,01-03-2020,01-Mar
2,0,0,5,0,3,2,02-03-2020,02-Mar
1,0,0,6,0,3,3,03-03-2020,03-Mar
22,0,0,28,0,3,25,04-03-2020,04-Mar
2,0,0,30,0,3,27,05-03-2020,05-Mar
1,0,0,31,0,3,28,06-03-2020,06-Mar
3,0,0,34,0,3,31,07-03-2020,07-Mar
5,0,0,39,0,3,36,08-03-2020,08-Mar
9,0,0,48,0,3,45,09-03-2020,09-Mar
15,0,1,63,0,4,59,10-03-2020,10-Mar
8,0,0,71,0,4,67,11-03-2020,11-Mar
10,1,0,81,1,4,76,12-03-2020,12-Mar
10,0,6,91,1,10,80,13-03-2020,13-Mar
11,1,0,102,2,10,90,14-03-2020,14-Mar
10,0,3,112,2,13,97,15-03-2020,15-Mar
14,0,1,126,2,14,110,16-03-2020,16-Mar
20,1,1,146,3,15,128,17-03-2020,17-Mar
25,0,0,171,3,15,153,18-03-2020,18-Mar
27,1,5,198,4,20,174,19-03-2020,19-Mar
58,0,3,256,4,23,229,20-03-2020,20-Mar
78,0,0,334,4,23,307,21-03-2020,21-Mar
69,3,0,403,7,23,373,22-03-2020,22-Mar
